iter	Logloss
0	0.6499205622
1	0.6115749831
2	0.580172599
3	0.5490829945
4	0.5258560037
5	0.507826667
6	0.4908754012
7	0.479723159
8	0.4674920377
9	0.4557491238
10	0.4459357592
11	0.4379672451
12	0.4299303881
13	0.4227020233
14	0.4151632166
15	0.4089209682
16	0.4035786484
17	0.3985746309
18	0.3936809307
19	0.3895808001
20	0.3857977847
21	0.382035559
22	0.3776494104
23	0.372830253
24	0.370017498
25	0.3666702896
26	0.3618611314
27	0.359089986
28	0.3568505313
29	0.3536535897
30	0.351703288
31	0.3497289225
32	0.3474679908
33	0.3432134157
34	0.3385080825
35	0.335053102
36	0.3318711198
37	0.3286206271
38	0.3273750678
39	0.3239296955
40	0.3206239397
41	0.3190018098
42	0.3166523385
43	0.3143645532
44	0.3119536259
45	0.3109757819
46	0.3085602223
47	0.3071971752
48	0.30619761
49	0.3050993652
50	0.3038419182
51	0.3019385694
52	0.300398991
53	0.2997867611
54	0.2978926478
55	0.2967795102
56	0.2952021224
57	0.2941673398
58	0.2932189263
59	0.2918018159
60	0.2910641732
61	0.2905042455
62	0.2897571647
63	0.2882877321
64	0.2868018
65	0.2854964197
66	0.2817844515
67	0.281114902
68	0.2800974509
69	0.2788694457
70	0.2778187802
71	0.2755912842
72	0.2740361356
73	0.2732962434
74	0.272612198
75	0.2718320343
76	0.2713233989
77	0.2700707388
78	0.2694922739
79	0.2684770383
80	0.2673566607
81	0.2652609528
82	0.2645824677
83	0.2636254353
84	0.2624744018
85	0.2617008077
86	0.2608374541
87	0.2586845214
88	0.2578163561
89	0.2566942713
90	0.2561579513
91	0.2539942901
92	0.2532361845
93	0.2526994006
94	0.251619774
95	0.2511206499
96	0.2502176929
97	0.2494957773
98	0.2479549847
99	0.2469025182
100	0.2464837795
101	0.2458094809
102	0.2453415152
103	0.2448095512
104	0.2436562773
105	0.2430295137
106	0.242717603
107	0.2422763816
108	0.2416593064
109	0.2411738952
110	0.2401724483
111	0.2398536018
112	0.238948066
113	0.2379270429
114	0.2374321908
115	0.2361625463
116	0.2359410674
117	0.2354367401
118	0.2351675683
119	0.2344545303
120	0.2337889719
121	0.23288439
122	0.232114569
