iter	Passed	Remaining
0	4	4464
1	8	4196
2	12	4110
3	17	4305
4	21	4286
5	25	4242
6	30	4268
7	33	4210
8	37	4176
9	42	4159
10	45	4128
11	49	4096
12	53	4066
13	57	4068
14	62	4085
15	66	4073
16	70	4083
17	75	4093
18	79	4079
19	83	4075
20	87	4056
21	91	4056
22	94	4032
23	98	4018
24	103	4017
25	109	4088
26	116	4209
27	124	4319
28	134	4489
29	145	4711
30	153	4800
31	160	4860
32	174	5110
33	184	5251
34	196	5422
35	202	5432
36	207	5391
37	211	5342
38	215	5298
39	218	5254
40	223	5223
41	227	5182
42	231	5141
43	234	5103
44	238	5069
45	242	5030
46	246	4994
47	250	4968
48	255	4951
49	258	4920
50	262	4889
51	266	4855
52	270	4832
53	274	4807
54	278	4780
55	282	4756
56	286	4734
57	289	4708
58	293	4684
59	297	4666
60	302	4651
61	306	4630
62	310	4615
63	314	4601
64	318	4585
65	322	4567
66	326	4552
67	331	4538
68	335	4524
69	339	4510
70	343	4494
71	347	4474
72	351	4460
73	355	4445
74	359	4429
75	363	4421
76	367	4410
77	372	4398
78	376	4385
79	380	4377
80	384	4364
81	388	4354
82	393	4342
83	397	4330
84	401	4319
85	404	4302
86	408	4289
87	412	4275
88	417	4268
89	420	4256
90	424	4244
91	428	4233
92	433	4223
93	437	4213
94	441	4201
95	444	4189
96	449	4188
97	453	4176
98	457	4167
99	462	4158
100	465	4146
101	470	4144
102	474	4133
103	478	4122
104	482	4114
105	486	4104
106	490	4093
107	494	4083
108	499	4079
109	503	4071
110	507	4061
111	511	4052
112	515	4046
113	519	4038
114	523	4028
115	527	4017
116	531	4011
117	535	4005
118	540	3999
119	544	3991
120	548	3985
121	552	3976
122	556	3969
123	560	3961
124	565	3959
125	570	3956
126	575	3958
127	580	3955
128	584	3949
129	588	3939
130	592	3930
131	596	3925
132	601	3918
133	605	3911
134	609	3907
135	613	3900
136	618	3894
137	622	3886
138	626	3879
139	630	3873
140	634	3865
141	638	3855
142	642	3849
143	646	3841
144	650	3835
145	654	3828
146	659	3825
147	663	3820
148	667	3812
149	671	3805
150	675	3797
151	679	3791
152	683	3783
153	687	3776
154	691	3767
155	695	3763
156	700	3762
157	704	3755
158	708	3748
159	713	3743
160	716	3735
161	720	3729
162	725	3722
163	730	3721
164	734	3715
165	737	3707
166	741	3699
167	746	3696
168	750	3689
169	754	3682
170	758	3678
171	763	3674
172	768	3672
173	772	3665
174	775	3658
175	780	3652
176	784	3646
177	788	3641
178	792	3635
179	797	3634
180	801	3627
181	805	3620
182	809	3615
183	813	3607
184	817	3600
185	821	3594
186	825	3589
187	830	3585
188	834	3579
189	838	3574
190	842	3568
191	846	3562
192	850	3555
193	854	3550
194	858	3544
195	862	3540
196	866	3532
197	871	3528
198	874	3521
199	879	3517
200	883	3513
201	887	3507
202	891	3501
203	896	3496
204	900	3490
205	903	3483
206	907	3477
207	912	3474
208	916	3468
209	920	3463
210	924	3457
211	928	3452
212	932	3446
213	937	3441
214	941	3436
215	945	3431
216	949	3424
217	953	3420
218	957	3415
219	961	3410
220	965	3404
221	969	3397
222	973	3393
223	978	3389
224	982	3382
225	986	3377
226	990	3372
227	994	3368
228	998	3363
229	1003	3358
230	1007	3352
231	1011	3347
232	1015	3342
233	1019	3336
234	1023	3332
235	1027	3326
236	1031	3320
237	1035	3313
238	1039	3308
239	1043	3304
240	1047	3297
241	1050	3291
242	1054	3285
243	1059	3281
244	1063	3276
245	1067	3270
246	1071	3265
247	1075	3260
248	1079	3256
249	1083	3251
250	1087	3245
251	1092	3241
252	1095	3236
253	1100	3233
254	1105	3229
255	1109	3224
256	1113	3219
257	1117	3214
258	1122	3210
259	1126	3205
260	1130	3200
261	1133	3194
262	1138	3189
263	1141	3183
264	1145	3177
265	1149	3172
266	1154	3168
267	1158	3164
268	1162	3158
269	1166	3153
270	1170	3149
271	1174	3144
272	1178	3139
273	1182	3134
274	1187	3129
275	1191	3124
276	1194	3119
277	1200	3117
278	1204	3113
279	1208	3107
280	1212	3102
281	1216	3097
282	1220	3093
283	1224	3087
284	1228	3082
285	1232	3077
286	1236	3072
287	1240	3066
288	1244	3061
289	1249	3058
290	1253	3054
291	1258	3052
292	1262	3046
293	1266	3042
294	1270	3037
295	1275	3032
296	1278	3026
297	1283	3022
298	1287	3017
299	1292	3014
300	1295	3009
301	1299	3003
302	1303	2999
303	1308	2996
304	1312	2990
305	1316	2986
306	1321	2982
307	1325	2977
308	1330	2974
309	1334	2970
310	1339	2966
311	1342	2961
312	1347	2956
313	1351	2952
314	1355	2947
315	1359	2942
316	1363	2937
317	1367	2933
318	1372	2929
319	1376	2924
320	1380	2920
321	1384	2916
322	1389	2913
323	1394	2908
324	1398	2904
325	1402	2899
326	1406	2894
327	1410	2889
328	1414	2884
329	1418	2880
330	1423	2876
331	1427	2872
332	1431	2867
333	1437	2865
334	1441	2861
335	1445	2856
336	1449	2850
337	1453	2846
338	1457	2841
339	1461	2836
340	1465	2832
341	1470	2828
342	1473	2823
343	1478	2818
344	1482	2814
345	1487	2811
346	1491	2807
347	1495	2802
348	1499	2797
349	1503	2792
350	1507	2787
351	1511	2781
352	1515	2776
353	1519	2772
354	1523	2767
355	1527	2762
356	1531	2757
357	1535	2752
358	1539	2748
359	1543	2743
360	1547	2739
361	1551	2734
362	1555	2729
363	1558	2723
364	1563	2720
365	1568	2716
366	1572	2711
367	1576	2707
368	1581	2703
369	1584	2698
370	1588	2693
371	1592	2689
372	1597	2685
373	1601	2681
374	1605	2676
375	1609	2671
376	1613	2667
