Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date
AAPL,0,Buy,229.5399932861328,9770.460006713867,1,10000.0,2024-10-09
AAPL,1,Buy,229.0399932861328,9541.420013427734,2,9999.5,2024-10-10
AAPL,2,Sell,227.5500030517578,9768.970016479492,1,9996.52001953125,2024-10-11
AAPL,3,Hold,231.3000030517578,9768.970016479492,1,10000.27001953125,2024-10-14
MSFT,0,Buy,417.4599914550781,9582.540008544922,1,10000.0,2024-10-09
MSFT,1,Sell,415.8399963378906,9998.380004882812,0,9998.380004882812,2024-10-10
MSFT,2,Hold,416.3200073242187,9998.380004882812,0,9998.380004882812,2024-10-11
MSFT,3,Buy,419.1400146484375,9579.239990234375,1,9998.380004882812,2024-10-14
NVDA,0,Sell,132.64999389648438,10000,0,10000.0,2024-10-09
NVDA,1,Hold,134.80999755859375,10000,0,10000.0,2024-10-10
NVDA,2,Buy,134.8000030517578,9865.199996948242,1,10000.0,2024-10-11
NVDA,3,Sell,138.07000732421875,10003.270004272461,0,10003.270004272461,2024-10-14
AMZN,0,Sell,185.1699981689453,10000,0,10000.0,2024-10-09
AMZN,1,Hold,186.6499938964844,10000,0,10000.0,2024-10-10
AMZN,2,Hold,188.82000732421875,10000,0,10000.0,2024-10-11
AMZN,3,Buy,187.5399932861328,9812.460006713867,1,10000.0,2024-10-14
GOOG,0,Sell,163.05999755859375,10000,0,10000.0,2024-10-09
GOOG,1,Sell,163.17999267578125,10000,0,10000.0,2024-10-10
GOOG,2,Hold,164.52000427246094,10000,0,10000.0,2024-10-11
GOOG,3,Sell,166.35000610351562,10000,0,10000.0,2024-10-14
GOOGL,0,Sell,161.86000061035156,10000,0,10000.0,2024-10-09
GOOGL,1,Sell,162.0800018310547,10000,0,10000.0,2024-10-10
GOOGL,2,Hold,163.24000549316406,10000,0,10000.0,2024-10-11
GOOGL,3,Hold,164.9600067138672,10000,0,10000.0,2024-10-14
META,0,Hold,590.510009765625,10000,0,10000.0,2024-10-09
META,1,Hold,583.8300170898438,10000,0,10000.0,2024-10-10
META,2,Hold,589.9500122070312,10000,0,10000.0,2024-10-11
META,3,Hold,590.4199829101562,10000,0,10000.0,2024-10-14
BRK-B,0,Sell,455.8999938964844,10000,0,10000.0,2024-10-09
BRK-B,1,Sell,454.9299926757813,10000,0,10000.0,2024-10-10
BRK-B,2,Buy,460.2099914550781,9539.790008544922,1,10000.0,2024-10-11
BRK-B,3,Buy,459.9800109863281,9079.809997558594,2,9999.77001953125,2024-10-14
LLY,0,Sell,919.739990234375,10000,0,10000.0,2024-10-09
LLY,1,Sell,910.6900024414062,10000,0,10000.0,2024-10-10
LLY,2,Sell,932.0599975585938,10000,0,10000.0,2024-10-11
LLY,3,Buy,929.510009765625,9070.489990234375,1,10000.0,2024-10-14
AVGO,0,Hold,185.9499969482422,10000,0,10000.0,2024-10-09
AVGO,1,Hold,185.69000244140625,10000,0,10000.0,2024-10-10
AVGO,2,Sell,181.47999572753903,10000,0,10000.0,2024-10-11
AVGO,3,Sell,182.30999755859375,10000,0,10000.0,2024-10-14
TSLA,0,Hold,241.0500030517578,10000,0,10000.0,2024-10-09
TSLA,1,Hold,238.77000427246097,10000,0,10000.0,2024-10-10
TSLA,2,Hold,217.8000030517578,10000,0,10000.0,2024-10-11
TSLA,3,Hold,219.16000366210938,10000,0,10000.0,2024-10-14
WMT,0,Sell,80.4000015258789,10000,0,10000.0,2024-10-09
WMT,1,Sell,79.61000061035156,10000,0,10000.0,2024-10-10
WMT,2,Hold,80.0999984741211,10000,0,10000.0,2024-10-11
WMT,3,Buy,80.29000091552734,9919.709999084473,1,10000.0,2024-10-14
JPM,0,Buy,213.4199981689453,9786.580001831055,1,10000.0,2024-10-09
JPM,1,Buy,212.83999633789065,9573.740005493164,2,9999.419998168945,2024-10-10
JPM,2,Hold,222.2899932861328,9573.740005493164,2,10018.31999206543,2024-10-11
JPM,3,Buy,221.47999572753906,9352.260009765625,3,10016.699996948242,2024-10-14
UNH,0,Buy,591.219970703125,9408.780029296875,1,10000.0,2024-10-09
UNH,1,Hold,597.7000122070312,9408.780029296875,1,10006.480041503906,2024-10-10
UNH,2,Sell,598.0499877929688,10006.830017089844,0,10006.830017089844,2024-10-11
UNH,3,Sell,605.4000244140625,10006.830017089844,0,10006.830017089844,2024-10-14
V,0,Sell,276.92999267578125,10000,0,10000.0,2024-10-09
V,1,Sell,277.4700012207031,10000,0,10000.0,2024-10-10
V,2,Sell,277.8399963378906,10000,0,10000.0,2024-10-11
V,3,Hold,280.67999267578125,10000,0,10000.0,2024-10-14
XOM,0,Buy,122.08999633789062,9877.91000366211,1,10000.0,2024-10-09
XOM,1,Buy,123.13999938964844,9754.770004272461,2,10001.050003051758,2024-10-10
XOM,2,Buy,123.61000061035156,9631.16000366211,3,10001.990005493164,2024-10-11
XOM,3,Buy,124.08000183105469,9507.080001831055,4,10003.400009155273,2024-10-14
MA,0,Sell,499.9500122070313,10000,0,10000.0,2024-10-09
MA,1,Sell,498.0199890136719,10000,0,10000.0,2024-10-10
MA,2,Sell,502.260009765625,10000,0,10000.0,2024-10-11
MA,3,Sell,506.6600036621094,10000,0,10000.0,2024-10-14
COST,0,Sell,909.0999755859376,10000,0,10000.0,2024-10-09
COST,1,Sell,893.6300048828125,10000,0,10000.0,2024-10-10
COST,2,Hold,889.030029296875,10000,0,10000.0,2024-10-11
COST,3,Sell,889.760009765625,10000,0,10000.0,2024-10-14
KO,0,Sell,69.56999969482422,10000,0,10000.0,2024-10-09
KO,1,Sell,69.25,10000,0,10000.0,2024-10-10
KO,2,Sell,69.56999969482422,10000,0,10000.0,2024-10-11
KO,3,Buy,70.33999633789062,9929.66000366211,1,10000.0,2024-10-14
BAC,0,Buy,40.189998626708984,9959.810001373291,1,10000.0,2024-10-09
BAC,1,Hold,39.970001220703125,9959.810001373291,1,9999.780002593994,2024-10-10
BAC,2,Hold,41.95000076293945,9959.810001373291,1,10001.76000213623,2024-10-11
BAC,3,Buy,41.90999984741211,9917.900001525879,2,10001.720001220703,2024-10-14
MRK,0,Hold,110.2699966430664,10000,0,10000.0,2024-10-09
MRK,1,Buy,109.4000015258789,9890.599998474121,1,10000.0,2024-10-10
MRK,2,Hold,109.7300033569336,9890.599998474121,1,10000.330001831055,2024-10-11
MRK,3,Hold,109.69000244140625,9890.599998474121,1,10000.290000915527,2024-10-14
CVX,0,Buy,149.64999389648438,9850.350006103516,1,10000.0,2024-10-09
CVX,1,Buy,150.6199951171875,9699.730010986328,2,10000.970001220703,2024-10-10
CVX,2,Buy,151.4199981689453,9548.310012817383,3,10002.570007324219,2024-10-11
CVX,3,Buy,151.77999877929688,9396.530014038086,4,10003.650009155273,2024-10-14
AMD,0,Sell,171.02000427246094,10000,0,10000.0,2024-10-09
AMD,1,Sell,164.17999267578125,10000,0,10000.0,2024-10-10
AMD,2,Hold,167.88999938964844,10000,0,10000.0,2024-10-11
AMD,3,Hold,167.15499877929688,10000,0,10000.0,2024-10-14
TMUS,0,Sell,212.08999633789065,10000,0,10000.0,2024-10-09
TMUS,1,Sell,211.4499969482422,10000,0,10000.0,2024-10-10
TMUS,2,Buy,213.0399932861328,9786.960006713867,1,10000.0,2024-10-11
TMUS,3,Sell,215.91000366210938,10002.870010375977,0,10002.870010375977,2024-10-14
TMO,0,Buy,599.25,9400.75,1,10000.0,2024-10-09
TMO,1,Sell,593.7899780273438,9994.539978027344,0,9994.539978027344,2024-10-10
TMO,2,Hold,596.9199829101562,9994.539978027344,0,9994.539978027344,2024-10-11
TMO,3,Hold,603.7899780273438,9994.539978027344,0,9994.539978027344,2024-10-14
PEP,0,Sell,172.5399932861328,10000,0,10000.0,2024-10-09
PEP,1,Sell,172.99000549316406,10000,0,10000.0,2024-10-10
PEP,2,Sell,174.80999755859375,10000,0,10000.0,2024-10-11
PEP,3,Buy,176.10000610351562,9823.899993896484,1,10000.0,2024-10-14
ADBE,0,Sell,494.0799865722656,10000,0,10000.0,2024-10-09
ADBE,1,Hold,503.5700073242187,10000,0,10000.0,2024-10-10
ADBE,2,Sell,495.4200134277344,10000,0,10000.0,2024-10-11
ADBE,3,Buy,509.6499938964844,9490.350006103516,1,10000.0,2024-10-14
LIN,0,Sell,469.5700073242187,10000,0,10000.0,2024-10-09
LIN,1,Sell,469.4200134277344,10000,0,10000.0,2024-10-10
LIN,2,Sell,474.0400085449219,10000,0,10000.0,2024-10-11
LIN,3,Buy,477.5799865722656,9522.420013427734,1,10000.0,2024-10-14
MCD,0,Sell,303.8299865722656,10000,0,10000.0,2024-10-09
MCD,1,Buy,304.0400085449219,9695.959991455078,1,10000.0,2024-10-10
MCD,2,Buy,305.0400085449219,9390.919982910156,2,10001.0,2024-10-11
MCD,3,Buy,309.8399963378906,9081.079986572266,3,10010.599975585938,2024-10-14
ACN,0,Buy,365.0799865722656,9634.920013427734,1,10000.0,2024-10-09
ACN,1,Hold,361.0700073242187,9634.920013427734,1,9995.990020751953,2024-10-10
ACN,2,Hold,360.739990234375,9634.920013427734,1,9995.66000366211,2024-10-11
ACN,3,Hold,364.6000061035156,9634.920013427734,1,9999.52001953125,2024-10-14
CSCO,0,Sell,53.560001373291016,10000,0,10000.0,2024-10-09
CSCO,1,Sell,53.540000915527344,10000,0,10000.0,2024-10-10
CSCO,2,Hold,54.25,10000,0,10000.0,2024-10-11
CSCO,3,Sell,54.27000045776367,10000,0,10000.0,2024-10-14
GE,0,Buy,189.27999877929688,9810.720001220703,1,10000.0,2024-10-09
GE,1,Buy,188.1199951171875,9622.600006103516,2,9998.83999633789,2024-10-10
GE,2,Buy,191.16000366210935,9431.440002441406,3,10004.920013427734,2024-10-11
GE,3,Buy,192.6300048828125,9238.809997558594,4,10009.330017089844,2024-10-14
IBM,0,Sell,234.3000030517578,10000,0,10000.0,2024-10-09
IBM,1,Sell,233.02000427246097,10000,0,10000.0,2024-10-10
IBM,2,Sell,233.2599945068359,10000,0,10000.0,2024-10-11
IBM,3,Hold,235.25999450683594,10000,0,10000.0,2024-10-14
DHR,0,Buy,269.2300109863281,9730.769989013672,1,10000.0,2024-10-09
DHR,1,Sell,266.45001220703125,9997.220001220703,0,9997.220001220703,2024-10-10
DHR,2,Sell,270.3299865722656,9997.220001220703,0,9997.220001220703,2024-10-11
DHR,3,Sell,271.55999755859375,9997.220001220703,0,9997.220001220703,2024-10-14
ABT,0,Sell,115.9499969482422,10000,0,10000.0,2024-10-09
ABT,1,Sell,115.62000274658205,10000,0,10000.0,2024-10-10
ABT,2,Sell,116.12000274658205,10000,0,10000.0,2024-10-11
ABT,3,Sell,117.25,10000,0,10000.0,2024-10-14
BX,0,Hold,148.4199981689453,10000,0,10000.0,2024-10-09
BX,1,Buy,149.02999877929688,9850.970001220703,1,10000.0,2024-10-10
BX,2,Hold,153.0399932861328,9850.970001220703,1,10004.009994506836,2024-10-11
BX,3,Hold,155.49000549316406,9850.970001220703,1,10006.460006713867,2024-10-14
NOW,0,Hold,938.6500244140624,10000,0,10000.0,2024-10-09
NOW,1,Hold,944.6300048828124,10000,0,10000.0,2024-10-10
NOW,2,Hold,938.5900268554688,10000,0,10000.0,2024-10-11
NOW,3,Hold,944.6900024414062,10000,0,10000.0,2024-10-14
AXP,0,Sell,271.4200134277344,10000,0,10000.0,2024-10-09
AXP,1,Sell,270.4700012207031,10000,0,10000.0,2024-10-10
AXP,2,Buy,276.1600036621094,9723.83999633789,1,10000.0,2024-10-11
AXP,3,Buy,276.5199890136719,9447.320007324219,2,10000.359985351562,2024-10-14
PM,0,Sell,120.18000030517578,10000,0,10000.0,2024-10-09
PM,1,Sell,119.38999938964844,10000,0,10000.0,2024-10-10
PM,2,Sell,120.0999984741211,10000,0,10000.0,2024-10-11
PM,3,Sell,120.08000183105469,10000,0,10000.0,2024-10-14
VZ,0,Sell,44.11000061035156,10000,0,10000.0,2024-10-09
VZ,1,Sell,42.95000076293945,10000,0,10000.0,2024-10-10
VZ,2,Sell,43.0,10000,0,10000.0,2024-10-11
VZ,3,Buy,43.189998626708984,9956.810001373291,1,10000.0,2024-10-14
TXN,0,Sell,204.97000122070312,10000,0,10000.0,2024-10-09
TXN,1,Sell,202.47000122070312,10000,0,10000.0,2024-10-10
TXN,2,Buy,205.11000061035156,9794.889999389648,1,10000.0,2024-10-11
TXN,3,Sell,208.65499877929688,10003.544998168945,0,10003.544998168945,2024-10-14
QCOM,0,Sell,170.22000122070312,10000,0,10000.0,2024-10-09
QCOM,1,Sell,168.52000427246094,10000,0,10000.0,2024-10-10
QCOM,2,Sell,169.97999572753906,10000,0,10000.0,2024-10-11
QCOM,3,Buy,178.0399932861328,9821.960006713867,1,10000.0,2024-10-14
WFC,0,Buy,57.540000915527344,9942.459999084473,1,10000.0,2024-10-09
